Auktion;Art;Klas.;Sort;Redskab;MSC;SeaPacked;Ks;Kilo;Slant;Ialt;Pris;Total;Område;Dato;Redskab;Sælger;Sælger navn;Sælger adresse;Post nr.;By;Land;Tlf;Email;Landingsdato;Fangst start;Fangst slut;FAO;Latin;Parti nr.
Strandby;Blålange;A;9;;FALSK;FALSK;1;0;7;7;5;35;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;BLI;Molva Dypterygia;2,11202E+11
Strandby;Jomfruhummer;E;2;TRAWL;SAND;FALSK;1;20;10;10;50;500;27.3.AN;02-11-2020;OTB;FN 293;FN 293;;;;Denmark;;;02-11-2020;30-10-2020;30-10-2020;NEP;Nephrobs Norvegicus;21120201201
Strandby;Jomfruhummer;E;2;TRAWL;SAND;FALSK;3;20;0;60;67;3990;27.3.AN;02-11-2020;OTB;FN 220;FN 220;;;;Denmark;;;02-11-2020;30-10-2020;01-11-2020;NEP;Nephrobs Norvegicus;2112020401
Strandby;Krabbeklør;A;2;;FALSK;FALSK;1;25;0;25;41;1013;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;CRE;Cancer pagurus;21120206102
Strandby;Krabbeklør;A;2;;FALSK;FALSK;2;25;0;50;42;2100;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;CRE;Cancer pagurus;21120206101
Hanstholm;Kuller;A;1;TRAWL;SAND;SAND;3;30;23;83;29;2407;27.4.A;02-11-2020;OTB;HM 128;"HM 128 ""Borkumrif""";Bytorvet 34;7730;Hanstholm;Denmark;40364934 (Flemm);;02-11-2020;27-10-2020;01-11-2020;HAD;Melanogrammus Aeglefinus;2,11202E+11
Strandby;Kuller;A;1;;SAND;FALSK;1;35;0;35;23;805;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HAD;Melanogrammus Aeglefinus;2,11202E+11
Strandby;Kuller;A;1;;SAND;FALSK;1;0;45;45;25;1103;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HAD;Melanogrammus Aeglefinus;2,11202E+11
Strandby;Kuller;A;3;;SAND;FALSK;2;35;18;53;6;292;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HAD;Melanogrammus Aeglefinus;2,11202E+11
Skagen;Kuller;E;1;TRAWL;SAND;FALSK;3;25;0;75;24;1781;27. 3AN;02-11-2020;OTB;S 107;"S 107 ""Skagerak""";Sct. Laurentii Vej 39;9990;Skagen;Denmark;;;02-11-2020;30-10-2020;31-10-2020;HAD;Melanogrammus Aeglefinus;2,11202E+11
Skagen;Kulmule;A;0;TRAWL;SAND;FALSK;1;0;4;4;25;100;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;HKE;Merluccius Merluccius;21120207701
Strandby;Kulmule;A;1;;SAND;FALSK;4;25;12;87;32;2784;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HKE;Merluccius Merluccius;21120209101
Strandby;Kulmule;A;1;;SAND;FALSK;2;25;22;47;33;1551;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HKE;Merluccius Merluccius;2,11202E+11
Skagen;Kulmule;A;1;TRAWL;SAND;FALSK;1;0;25;25;25;625;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;HKE;Merluccius Merluccius;21120206801
Strandby;Kulmule;A;2;;SAND;FALSK;4;25;0;100;22;2225;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HKE;Merluccius Merluccius;21120209202
Strandby;Kulmule;A;3;;SAND;FALSK;1;25;0;25;9;219;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;HKE;Merluccius Merluccius;21120209302
Skagen;Kulmule;E;2;TRAWL;SAND;FALSK;0;0;5;5;18;90;27. 3AN;02-11-2020;OTB;S 486;S 486 Sajoni;;;;Denmark;;;02-11-2020;31-10-2020;01-11-2020;HKE;Merluccius Merluccius;2,11202E+11
Strandby;Lange;A;1;;SAND;FALSK;1;0;25;25;15;375;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;LIN;Molva Molva;2,11202E+11
Strandby;Lange;A;1;;SAND;FALSK;1;0;26;26;18;468;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;LIN;Molva Molva;21120207701
Skagen;Lange;A;1;TRAWL;SAND;FALSK;1;0;6;6;16;96;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;LIN;Molva Molva;21120207301
Skagen;Lange;A;2;TRAWL;SAND;FALSK;0;0;2;2;16;32;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;LIN;Molva Molva;21120207401
Strandby;Mørksej;A;3;;SAND;FALSK;2;35;0;70;14;987;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;POK;Pollachius Virens;2,11202E+11
Strandby;Mørksej;A;3;;SAND;FALSK;1;35;0;35;14;494;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;POK;Pollachius Virens;2,11202E+11
Strandby;Pighvar;A;4;;FALSK;FALSK;1;0;4;4;25;88;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;TUR;Psetta Maxima;2,11202E+11
Strandby;Rødspætte;A;2;;SAND;FALSK;1;35;0;35;32;1103;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203602
Strandby;Rødspætte;A;2;;SAND;FALSK;1;35;41;41;34;1374;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203601
Strandby;Rødspætte;A;3;;SAND;FALSK;2;35;0;70;23;1593;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203802
Strandby;Rødspætte;A;4;;SAND;FALSK;12;35;0;420;15;6216;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203201
