Art,Sort,Kg.,Gnms. pris,Max,dato,auktion
Blæksprutter,"9,0",2.136 kg.,"17,58 Kr.","22,40 Kr.",02-11-2020,Thyborøn
Brosme,"9,0",91 kg.,"19,08 Kr.","20,50 Kr.",02-11-2020,Thyborøn
Fjæsing,"9,0",80 kg.,"9,04 Kr.","20,80 Kr.",02-11-2020,Thyborøn
Glashvarre,"9,0",69 kg.,"31,52 Kr.","38,40 Kr.",02-11-2020,Thyborøn
Grå knurhaner,"9,0",52 kg.,"2,21 Kr.","2,50 Kr.",02-11-2020,Thyborøn
Havkat,"1,0",40 kg.,"47,34 Kr.","49,50 Kr.",02-11-2020,Thyborøn
Havkat,"2,0",177 kg.,"44,20 Kr.","48,10 Kr.",02-11-2020,Thyborøn
Havkat,"3,0",29 kg.,"16,16 Kr.","18,20 Kr.",02-11-2020,Thyborøn
Havtaske,"1,0",644 kg.,"24,85 Kr.","32,90 Kr.",02-11-2020,Thyborøn
Havtaske,"2,0",1.146 kg.,"32,26 Kr.","34,30 Kr.",02-11-2020,Thyborøn
Havtaske,"3,0",1.936 kg.,"36,37 Kr.","37,79 Kr.",02-11-2020,Thyborøn
Havtaske,"4,0",1.159 kg.,"33,03 Kr.","34,59 Kr.",02-11-2020,Thyborøn
Havtaske,"5,0",142 kg.,"19,12 Kr.","20,58 Kr.",02-11-2020,Thyborøn
Havtaske u/h,"1,0",12 kg.,"68,60 Kr.","73,20 Kr.",02-11-2020,Thyborøn
Havtaske u/h,"2,0",50 kg.,"77,47 Kr.","84,00 Kr.",02-11-2020,Thyborøn
Havtaske u/h,"3,0",136 kg.,"79,81 Kr.","87,40 Kr.",02-11-2020,Thyborøn
Havtaske u/h,"4,0",165 kg.,"79,61 Kr.","81,10 Kr.",02-11-2020,Thyborøn
Havtaske u/h,"5,0",67 kg.,"51,80 Kr.","53,10 Kr.",02-11-2020,Thyborøn
Helleflynder,"1,0",96 kg.,"75,73 Kr.","85,80 Kr.",02-11-2020,Thyborøn
Helleflynder,"2,0",12 kg.,"79,93 Kr.","80,00 Kr.",02-11-2020,Thyborøn
Helleflynder,"3,0",20 kg.,"74,35 Kr.","74,90 Kr.",02-11-2020,Thyborøn
Helleflynder,"4,0",21 kg.,"70,46 Kr.","72,60 Kr.",02-11-2020,Thyborøn
Helleflynder,"5,0",22 kg.,"44,88 Kr.","61,20 Kr.",02-11-2020,Thyborøn
Hvilling,"1,0",170 kg.,"17,35 Kr.","17,88 Kr.",02-11-2020,Thyborøn
Hvilling,"2,0",203 kg.,"11,35 Kr.","13,52 Kr.",02-11-2020,Thyborøn
Hvilling,"3,0",30 kg.,"8,33 Kr.","8,54 Kr.",02-11-2020,Thyborøn
Ising,"1,0",278 kg.,"15,02 Kr.","15,87 Kr.",02-11-2020,Thyborøn
Ising,"2,0",497 kg.,"11,12 Kr.","11,69 Kr.",02-11-2020,Thyborøn
Knurhaner,"1,0",7 kg.,"24,10 Kr.","24,10 Kr.",02-11-2020,Thyborøn
Knurhaner,"2,0",51 kg.,"9,60 Kr.","11,40 Kr.",02-11-2020,Thyborøn
Knurhaner,"3,0",61 kg.,"2,63 Kr.","2,70 Kr.",02-11-2020,Thyborøn
Knurhaner,"9,0",6 kg.,"18,00 Kr.","18,00 Kr.",02-11-2020,Thyborøn
Krabbeklør,"1,0",83 kg.,"83,81 Kr.","88,30 Kr.",02-11-2020,Thyborøn
Krabbeklør,"2,0",145 kg.,"40,76 Kr.","47,20 Kr.",02-11-2020,Thyborøn
Krabbeklør,"3,0",51 kg.,"5,86 Kr.","6,50 Kr.",02-11-2020,Thyborøn
Kuller,"1,0",761 kg.,"22,81 Kr.","28,55 Kr.",02-11-2020,Thyborøn
Kuller,"2,0",1.465 kg.,"17,28 Kr.","20,91 Kr.",02-11-2020,Thyborøn
Kuller,"3,0",697 kg.,"7,91 Kr.","10,50 Kr.",02-11-2020,Thyborøn
Kuller,"4,0",123 kg.,"2,65 Kr.","2,68 Kr.",02-11-2020,Thyborøn
Kulmule,"0,0",600 kg.,"63,87 Kr.","68,56 Kr.",02-11-2020,Thyborøn
Kulmule,"1,0",1.299 kg.,"43,60 Kr.","46,75 Kr.",02-11-2020,Thyborøn
Kulmule,"2,0",9.363 kg.,"25,67 Kr.","30,95 Kr.",02-11-2020,Thyborøn
Kulmule,"3,0",4.885 kg.,"12,91 Kr.","18,46 Kr.",02-11-2020,Thyborøn
Kulmule,"4,0",257 kg.,"7,47 Kr.","7,83 Kr.",02-11-2020,Thyborøn
Kulmule,"9,0",72 kg.,"5,05 Kr.","5,98 Kr.",02-11-2020,Thyborøn
