Auktion;Art;Klas.;Sort;Redskab;MSC;SeaPacked;Ks;Kilo;Slant;Ialt;Pris;Total;Område;Dato;Redskab;Sælger;Sælger navn;Sælger adresse;Post nr.;By;Land;Tlf;Email;Landingsdato;Fangst start;Fangst slut;FAO;Latin;Parti nr.
Strandby;Torsk;A;3;;FALSE;FALSE;2;25,00;0,00;50,00;34,75;1737,50;;01-09-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;01-09-2020;;;COD;Gadus Morhua;0109202010001
Strandby;Torsk;A;4;;FALSE;FALSE;1;0,00;12,00;12,00;27,75;333,00;;01-09-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;01-09-2020;;;COD;Gadus Morhua;010920209901
Hirtshals;Torsk;E;4;SSC;FALSE;FALSE;1;20,00;0,00;20,00;31,75;635,00;27.3.AN;01-09-2020;;S 43;"S 43 ""Nordstrand""";"Gitte Henning A/S
Østerbyvej 44
";9990;Skagen;Denmark;;;01-09-2020;30-08-2020;31-08-2020;COD;Gadus Morhua;0109202030205
Hirtshals;Torsk;E;4;SSC;FALSE;FALSE;3;20,00;0,00;60,00;32,00;1920,00;27.3.AN;01-09-2020;;S 43;"S 43 ""Nordstrand""";"Gitte Henning A/S
Østerbyvej 44
";9990;Skagen;Denmark;;;01-09-2020;30-08-2020;31-08-2020;COD;Gadus Morhua;0109202030202
Strandby;Torsk;E;4;;FALSE;FALSE;2;25,00;0,00;50,00;32,25;1612,50;;01-09-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;01-09-2020;;;COD;Gadus Morhua;010920209502
Hanstholm;Torsk;A;3;TRAWL;FALSE;TRUE;5;0,00;105,00;105,00;36,50;3832,50;27.4.A;02-09-2020;OTB;VA 19 S;"VA 19 S ""Tenor""";;;;Norway;;;02-09-2020;;;COD;Gadus Morhua;0209202014501
Strandby;Torsk;A;3;;FALSE;FALSE;1;0,00;5,50;5,50;35,50;195,25;;02-09-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-09-2020;;;COD;Gadus Morhua;020920207301
Hanstholm;Torsk;A;4;TRAWL;FALSE;TRUE;5;0,00;92,00;92,00;29,00;2668,00;27.4.A;02-09-2020;OTB;VA 19 S;"VA 19 S ""Tenor""";;;;Norway;;;02-09-2020;;;COD;Gadus Morhua;0209202014601
Hirtshals;Torsk;E;4;VOD;FALSE;FALSE;5;20,00;0,00;100,00;33,00;3300,00;27.3.AN;02-09-2020;SDN;L 232;"L 232 ""Tove Kynde""";Sprogøvej 133;7680;Thyborøn;Denmark;;;02-09-2020;31-08-2020;01-09-2020;COD;Gadus Morhua;020920205702
Hirtshals;Torsk;E;4;;FALSE;FALSE;5;20,00;0,00;100,00;34,25;3425,00;27.3.AN;02-09-2020;;FFHI;F. F. Hirtshals;J. Fibigersgade 16;9850;Hirtshals;Denmark;98941437;;02-09-2020;;;COD;Gadus Morhua;020920207403
