,Auktion,Art_x,Klas.,Sort_x,MSC,SeaPacked,Ks,Kilo_x,Slant,Ialt,Pris,Total,Dato,Sælger,Sælger navn,Land,Landingsdato,FAO,Latin,Parti nr.,Unnamed: 0,Art_y,Sort_y,Kilo_y,Gnsn.,Max.,Valuta
0,Hirtshals,Torsk,E,4.0,False,False,8,20.0,0.0,160.0,28.0,4480.0,02-12-2020,FFHI,F. F. Hirtshals,Denmark,2020-12-02,COD,Gadus Morhua,21220205203,356283,Torsk,4,303.5,27.97,30.0,DKK
1,Strandby,Torsk,E,4.0,False,False,1,25.0,0.0,25.0,31.5,787.5,02-12-2020,FS,Fiskernes Samlecentral,Denmark,2020-12-02,COD,Gadus Morhua,21220206102,356307,Torsk,4,38.0,31.67,32.0,DKK
2,Skagen,Torsk,E,4.0,False,False,1,0.0,25.0,25.0,22.5,562.5,02-12-2020,S 226,"S 226 "" Emmely Pilegaard""",Denmark,2020-12-02,COD,Gadus Morhua,212202010801,356365,Torsk,4,104.0,23.44,25.0,DKK
3,Skagen,Torsk,E,4.0,False,False,1,0.0,25.0,25.0,23.0,575.0,02-12-2020,S 107,"S 107 ""Skagerak""",Denmark,2020-12-02,COD,Gadus Morhua,21220209801,356365,Torsk,4,104.0,23.44,25.0,DKK
4,Skagen,Torsk,E,4.0,False,False,2,25.0,0.0,50.0,24.0,1200.0,02-12-2020,8542,Skagen Samlecentral,Denmark,2020-12-02,COD,Gadus Morhua,21220202801,356365,Torsk,4,104.0,23.44,25.0,DKK
5,Skagen,Torsk,E,4.0,False,False,0,0.0,4.0,4.0,25.0,100.0,02-12-2020,8542,Skagen Samlecentral,Denmark,2020-12-02,COD,Gadus Morhua,21220202501,356365,Torsk,4,104.0,23.44,25.0,DKK
6,Strandby,Torsk,A,4.0,False,False,2,25.0,0.0,50.0,22.75,1137.5,30-11-2020,FS,Fiskernes Samlecentral,Denmark,2020-11-30,COD,Gadus Morhua,301120208101,352497,Torsk,4,559.0,22.31,25.25,DKK
7,Strandby,Torsk,E,4.0,False,False,2,25.0,12.0,37.0,24.25,897.25,30-11-2020,FS,Fiskernes Samlecentral,Denmark,2020-11-30,COD,Gadus Morhua,3011202016701,352497,Torsk,4,559.0,22.31,25.25,DKK
8,Strandby,Torsk,E,4.0,False,False,3,25.0,0.0,75.0,25.25,1893.75,30-11-2020,FS,Fiskernes Samlecentral,Denmark,2020-11-30,COD,Gadus Morhua,301120207601,352497,Torsk,4,559.0,22.31,25.25,DKK
9,Skagen,Torsk,E,4.0,False,False,1,0.0,25.0,25.0,24.25,606.25,30-11-2020,S 107,"S 107 ""Skagerak""",Denmark,2020-11-30,COD,Gadus Morhua,3011202016301,352559,Torsk,4,204.0,22.83,25.25,DKK
